title,overview,release_data,popularity,vote_count,original_language,vote_average
Magic Mike's Last Dance,"Mike Lane takes to the stage again after a lengthy hiatus, following a business deal that went bust, leaving him broke and taking bartender gigs in Florida. For what he hopes will be one last hurrah, Mike heads to London with a wealthy socialite who lures him with an offer he can’t refuse… and an agenda all her own. With everything on the line, once Mike discovers what she truly has in mind, will he—and the roster of hot new dancers he’ll have to whip into shape—be able to pull it off?",2023-02-09,2.738,521,en,6.493
Road to Perdition,"Mike Sullivan works as a hit man for crime boss John Rooney. Sullivan views Rooney as a father figure, however after his son is witness to a killing, Mike Sullivan finds himself on the run in attempt to save the life of his son and at the same time looking for revenge on those who wronged him.",2002-07-12,2.7373,3698,en,7.4
Halloween 4: The Return of Michael Myers,Michael returns to Haddonfield for Jamie Lloyd – the orphaned daughter of Laurie Strode – and her babysitter Rachel. Can Dr. Loomis stop him before the unholy slaughter reaches his innocent young niece?,1988-10-21,2.7372,1942,en,6.176
Storming Attacks,"A band of counterfeiters wants to make Hong Kong their new territory. The disgraced leader of the Special Squad will have to team-up with a group of Hong Kong police officers in an attempt to stop the dirty business of crime lord Han Tin Lung, but Han's problem is not only the interference of the Police force, but his Japanese ally Kimura is not happy with his 'cut' in the counterfeit deal and will try to put Donna (a relative of Han) on his side to make Han's business his own property. Both policemen and criminals are highly trained Martial Arts fighters and they will have the chance to prove who has the best Kung Fu techniques.",1978-08-31,2.7369,11,zh,6.4
Who Am I,"Benjamin, a young German computer whiz, is invited to join a subversive hacker group that wants to be noticed on the world's stage.",2014-09-25,2.7364,1571,de,7.599
The Waterboy,Bobby Boucher is a water boy for a struggling college football team. The coach discovers Boucher's hidden rage makes him a tackling machine whose bone-crushing power might vault his team into the playoffs.,1998-11-06,2.7359,1867,en,6.046
The First Slam Dunk,"Shohoku's “speedster” and point guard, Ryota Miyagi, always plays with brains and lightning speed, running circles around his opponents while feigning composure. In his second year of high school, Ryota plays with the Shohoku High School basketball team along with Sakuragi, Rukawa, Akagi, and Mitsui as they take the stage at the Inter-High School National Championship. And now, they are on the brink of challenging the reigning champions, Sannoh Kogyo High School.",2022-12-03,2.7342,439,ja,7.745
Seoul Vibe,"Chasing speed, dreams and money, a team of drivers get involved in the slush fund investigation of a powerful figure during the 1988 Seoul Olympics.",2022-08-26,2.7342,168,ko,6.5
War of the Worlds: The Attack,Three young astronomers fight to survive a deadly Martian invasion.,2023-04-21,2.734,169,en,5.0
Pimp Bullies,Five suspects holding a piece of the truth behind an unsolved crime.,2011-06-30,2.7332,9,en,2.7
Ouija: Origin of Evil,"In 1967 Los Angeles, a widowed mother and her two daughters add a new stunt to bolster their séance scam business and unwittingly invite authentic evil into their home. When the youngest daughter is overtaken by the merciless spirit, this small family confronts unthinkable fears to save her and send her possessor back to the other side.",2016-10-20,2.7331,2487,en,6.1
Chikan Densha: OL Kando Kurabe,,1991-06-21,2.7327,13,ja,4.8
Lonely Wives,"A highly respectable lawyer becomes a sexual animal after working hours; His live-in mother-in-law tries to keep him in line. When an actor-impersonator comes to see him, the two switch lives.",1931-02-15,2.7326,8,en,4.6
Coming 2 America,"Prince Akeem Joffer is set to become King of Zamunda when he discovers he has a son he never knew about in America – a street savvy Queens native named Lavelle. Honoring his royal father's dying wish to groom this son as the crown prince, Akeem and Semmi set off to America once again.",2021-03-04,2.7325,2256,en,6.4
Anna Karenina,"In Imperial Russia, Anna, the wife of the officer Karenin, goes to Moscow to visit her brother. On the way, she meets the charming cavalry officer Vronsky to whom she is immediately attracted. But in St. Petersburg’s high society, a relationship like this could destroy a woman’s reputation.",2012-09-06,2.7324,2302,en,6.7
Lonely Wives,"A highly respectable lawyer becomes a sexual animal after working hours; His live-in mother-in-law tries to keep him in line. When an actor-impersonator comes to see him, the two switch lives.",1931-02-15,1.3978,8,en,4.6
Coming 2 America,"Prince Akeem Joffer is set to become King of Zamunda when he discovers he has a son he never knew about in America – a street savvy Queens native named Lavelle. Honoring his royal father's dying wish to groom this son as the crown prince, Akeem and Semmi set off to America once again.",2021-03-04,3.2193,2256,en,6.4
Anna Karenina,"In Imperial Russia, Anna, the wife of the officer Karenin, goes to Moscow to visit her brother. On the way, she meets the charming cavalry officer Vronsky to whom she is immediately attracted. But in St. Petersburg’s high society, a relationship like this could destroy a woman’s reputation.",2012-09-06,2.7585,2302,en,6.7
Bajrangi Bhaijaan,A young mute girl from Pakistan loses herself in India with no way to head back. A devoted man with a magnanimous spirit undertakes the task to get her back to her motherland and unite her with her family.,2015-07-17,2.7501,493,hi,7.783
The Parent Trap,"Two identical twin sisters, separated at birth by their parents' divorce, are reunited years later at a summer camp, where they scheme to bring their parents back together. The girls, one of whom has been living with their mother and the other with their father, switch places after camp and go to work on their plan, the first objective being to scare off a gold-digger pursuing their father.",1961-05-13,2.9578,383,en,7.0
Entrapment,"Two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love.",1999-04-29,2.9061,2052,en,6.2
Superior,"On the run, Marian returns to her hometown in upstate New York to hide out with her estranged identical twin sister, Vivian. Struggling to put the past behind her, Marian lies about the reason for her return, leaving her sister in the dark until their two worlds begin to collide.",2022-03-25,2.5562,8,en,4.0
I Miss Sonia Henie,"One camera in one setting, one attic and eight young directors – the result is a unique Dadaistic collage of seven short sketches. The original task for each filmmaker was to keep each short under three minutes, to set it in one hotel room, and to include the sentence “I miss Sonja Henie."" This experimental film was shot over a single night at the international film festival FEST in Beograd in 1971.",1971-01-20,2.3578,20,sh,5.7
The Last Letter from Your Lover,A young journalist in London becomes obsessed with a series of letters she discovers that recounts an intense star-crossed love affair from the 1960s.,2021-07-23,2.3053,614,en,7.388
The Poughkeepsie Tapes,"When hundreds of videotapes showing torture, murder and dismemberment are found in an abandoned house, they reveal a serial killer's decade-long reign of terror and become the most disturbing collection of evidence homicide detectives have ever seen.",2007-04-27,2.7452,650,en,6.578
Excalibur,"A surreal adaptation of Sir Thomas Malory's ""Le Morte d'Arthur"" chronicling Arthur Pendragon's conception, his rise to the throne, the search by his Knights of the Round Table for the Holy Grail, and ultimately, his death.",1981-04-10,2.7292,1025,en,6.9
Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",1995-12-15,2.9881,10698,en,7.235
Air Force One Down,"On her first assignment aboard Air Force One, a rookie Secret Service agent faces the ultimate test when terrorists hijack the plane, intent on derailing a pivotal energy deal. With the President's life on the line and a global crisis at stake, her bravery and skills are pushed to the limit in a relentless battle that could change the course of history.",2024-02-09,3.3688,137,en,6.1
Ad Astra,"The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.",2019-09-17,2.6837,6733,en,6.109
He Sees You When You're Sleeping,A man dies in a freak accident on a golf course only to learn he must perform one last  good deed to get into heaven.,2002-12-22,1.6273,12,en,6.0
Paul Blart: Mall Cop,"Mild-mannered Paul Blart has always had huge dreams of becoming a State Trooper. Until then, he patrols the local mall as a security guard. With his closely cropped moustache, personal transporter and gung-ho attitude, only Blart seems to take his job seriously. All that changes when a team of thugs raids the mall and takes hostages. Untrained, unarmed and a super-size target, Blart has to become a real cop to save the day.",2009-01-15,3.0872,2549,en,5.4
Anacondas: Trail of Blood,"A genetically created Anaconda, cut in half, regenerates itself into two new aggressive giant snakes, due to the Blood Orchid.",2009-02-27,3.0337,310,en,4.7
Polk County Pot Plane,"Oosh and Boosh, two pot smoking hicks, meet up with Big Jim, who flies in drugs from Cuba and Colombia. Our heroes unload the plane and drive off, the only problem being that within about ten seconds of doing so, the police are on their tail. You've never met two more unlucky drugs couriers, as the police are on to them every time they try something, the mafia have changed management and want money back for lost shipments, and they're about to get stiffed for their biggest heist.",1977-08-01,2.7276,5,en,3.4
Fidelity,"Lena is a talented midwife and gynaecologist, her husband Serezha is an actor at a provincial drama theatre. They are close and gentle with each other, but there is no sex. Lena suspects that Serezha has an affair, but she worries quietly and does not reveal her jealousy. Instead of sorting out her relationship with her husband, Lena starts to betray him with chance acquaintances. Gradually Lena’s parallel life gets out of control and changes her original life.",2019-10-31,2.9003,299,ru,6.7
Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,1950-08-10,3.2527,2649,en,8.3
Due West: Our Sex Journey,"Set in contemporary Hong Kong, several young people are searching for romance and struggling to learn the difference between lust and love in an adventure that takes them to the mainland where pleasure is much more readily available.",2012-09-20,2.7248,50,cn,6.1
The Postman,"In 2013, there are no highways, no I-ways, no dreams of a better tomorrow, only scattered survivors across what was once the United States. Into this apocalyptic wasteland comes an enigmatic drifter with a mule, a knack for Shakespeare, and something yet undiscovered: the power to inspire hope.",1997-12-25,2.7248,1093,en,6.263
The Cable Guy,"When recently single Steven moves into his new apartment, cable guy Chip comes to hook him up—and doesn't let go. Initially, Chip is just overzealous in his desire to be Steven's pal, but when Steven tries to end the 'friendship', Chip shows his dark side. He begins stalking Steven, who's left to fend for himself because no one else can believe Chip's capable of such behaviour.",1996-06-10,2.7247,2475,en,6.0
Girl’s Pleasure: Man Hunting,Two high school friends. One witnesses the breakup of her family after a brutal home invasion. The other loses her virginity to an African-American soldier. Together they make a vital discovery and exact violent revenge.,1977-05-21,2.7243,3,ja,4.3
No Escape,"In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape in an environment where foreigners are being immediately executed.",2015-08-26,2.7241,2562,en,6.939
Elevator Game,"Socially awkward teenager Ryan discovers that the night his sister disappeared, she had played 'The Elevator Game' — a ritual conducted in an elevator in which players attempt to travel to another dimension using a set of rules found online. Ignoring warnings, he resolves to follow and find her.",2023-07-12,2.7237,161,en,4.9
Nomadland,"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad.",2021-01-29,2.7235,3063,en,7.2
Pretty Young Sister 4,"Jeong-woo who is tired of instant food and living alone decides to order delivery food. However, Ga-yeong, the delivery driver, is unfriendly even if she was late. To criticize Ga-yeong sarcastically, he asks, ""Will you do everything if I give you money?"" Ga-yeong takes the words seriously and attacks Jeong-woo's house. Woo-hyeon is questioning the woman's underwear found at the house of Hyeon-min who came to play at Jeong-woo's house, and learns the situation through Ga-yeong who just came. He said he was better than Jeong-woo. However, Ga-yeong is already full of thoughts of eating both of them.",2021-01-15,2.723,4,ko,6.0
La Femme Nikita,"A beautiful felon, sentenced to life in prison for the murder of a policeman, is given a second chance – as a secret political assassin controlled by the government.",1990-02-21,2.723,1971,fr,7.098
Act of Valor,"When a covert mission to rescue a kidnapped CIA operative uncovers a chilling plot, an elite, highly trained U.S. SEAL team speeds to hotspots around the globe, racing against the clock to stop a deadly terrorist attack.",2012-02-24,2.7229,1158,en,6.5
Turkish Passion,"A young woman’s passion forms the basis of this erotic Spanish drama adapted from a popular novel by Antonio Gala. The night before Desideria’s marriage, her girl friends give her some valuable advice on sex. The marriage takes place, and while it is generally happy, her husband Ramiro suffers from sexual dysfunction and Desideria is frustrated. The two end up on holiday in Istanbul with two friends. Desideria falls madly in love with the sensual ambiance of the ancient, teeming city. She begins a passionate affair with a handsome Turkish guide, Yaman. Upon her return home, she learns that she is pregnant. Ramiro agrees to support the child, but unfortunately it dies in infancy and the grieving Desideria flees for Istanbul to find her lover. She finds him and they renew their torrid affair. Later she learns some distressing things about Yaman, but this does not stop her from becoming his sexual slave and a call girl for wealthy carpet sellers.",1994-11-18,2.7228,47,es,5.4
The Passion of Joan of Arc,"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.",1928-04-21,2.7226,972,fr,8.0
Luckiest Girl Alive,A successful woman in New York City finds her life upended when she is forced to confront a dark truth that threatens to unravel her meticulously crafted life.,2022-09-30,2.7221,848,en,6.52
The Edge,"The plane carrying wealthy Charles Morse crashes down in the Alaskan wilderness. Together with the two other passengers, photographer Robert and assistant Stephen, Charles devises a plan to help them reach civilization. However, his biggest obstacle might not be the elements, or even the Kodiak bear stalking them -- it could be Robert, whom Charles suspects is having an affair with his wife and would not mind seeing him dead.",1997-09-06,2.7206,1194,en,6.839
Leatherface: The Texas Chainsaw Massacre III,Two college students driving coast to coast are lured off the main highway and onto a deserted Texas road. Here they are stalked by the menacing Leatherface and his demented family...a bizarre cannibalistic clan with blood on their hands and a feast on their minds. The students’ only chance for escape is a survivalist with enough firepower to blast Leatherface and the rest of the grisly predators to hell. A depraved shocker of intense terror from the gruesome beginning to the bloody finish.,1990-01-12,2.72,567,en,5.3
One Wild Moment,"Antoine and Laurent, old friends, spend their vacation in Corsica with their respective daughters: seventeen-year-old Louna and eighteen-year-old Marie. One evening at the beach, Louna seduces Laurent. Louna is in love, but for Laurent it was nothing more than a momentary distraction. Without revealing her lover's name, Louna confides in her father, who tries by any means to discover who his daughter's lover is. How long will the secret be able to be kept hidden?",2015-06-24,2.7196,1039,fr,5.826
Black Emanuelle,"Internationally-renowned photographer Mae Jordan, professionally known as 'Emanuelle', is hired by a wealthy British expat to go to Nairobi to shoot the ruins and wildlife. While there, she explores sexual situations with her hosts and their friends.",1975-11-27,2.7192,86,it,5.0
Mulberry,"Sam-po is a gambler living without concern for how his wife will manage their houselhold without his earning money. In order to get food and provisions, his wife An-hyeob, sleeps with various merchants in the village. One of the few men she does not sleep with, a lustful servant named Sam-dol, decides to reveal her activities to her husband for revenge.",1986-02-08,2.7191,12,ko,6.0
The Tuxedo,"Cabbie-turned-chauffeur Jimmy Tong learns there is really only one rule when you work for playboy millionaire Clark Devlin : Never touch Devlin's prized tuxedo. But when Devlin is temporarily put out of commission in an explosive accident, Jimmy puts on the tux and soon discovers that this extraordinary suit may be more black belt than black tie. Paired with a partner as inexperienced as he is, Jimmy becomes an unwitting secret agent.",2002-09-27,2.7191,1989,en,5.7
Down,"A pair of coworkers gets trapped in an elevator over a long weekend, but what at first promises to be a romantic connection turns nefarious as each party begins to reveal who they truly are.",2019-02-01,2.718,241,en,6.8
Lucky Day,"Nora Barkin is an aspiring actress who supports herself by working for a courier service. No sooner has Nora's friend and coworker Bill Reagan jubilantly announced that he possesses a lottery ticket worth 13 million dollars than Bill is killed by an unknown assailant. Though discouraged from doing so by investigating detective Marinello, Nora insists upon trying to solve Bill's murder herself.",2002-04-27,2.7178,4,en,5.8
This Is Where I Leave You,"When their father passes away, four grown, world-weary siblings return to their childhood home and are requested -- with an admonition -- to stay there together for a week, along with their free-speaking mother and a collection of spouses, exes and might-have-beens. As the brothers and sisters re-examine their shared history and the status of each tattered relationship among those who know and love them best, they reconnect in hysterically funny and emotionally significant ways.",2014-09-10,2.7173,1356,en,6.624
The Valet,"World famous movie star Olivia faces a PR disaster when a paparazzi snaps a photo of her with her married lover, Vincent. The hard-working valet Antonio accidentally appears in the same photo and is enlisted to pose as Olivia’s new boyfriend as a cover-up. This ruse with Olivia thrusts Antonio into the spotlight and unexpected chaos.",2022-05-11,2.7166,572,en,7.5
Cursed,"A werewolf loose in Los Angeles changes the lives of three young adults who, after being mauled by the beast, learn that the only way to break the curse put upon them is to kill the one who started it all.",2005-02-25,2.7164,712,en,5.4
Barbie Mariposa & the Fairy Princess,"Mariposa becomes the Royal Ambassador of Flutterfield, and is sent to bring peace between her fairy land and their rivals, the Crystal Fairies of Shimmervale. While Mariposa doesn't make a great first impression on  the King, she becomes fast friends with his shy daughter, Princess Catania. However, a misunderstanding causes Mariposa to be banished from their fairy land. As Mariposa and Zee returns to Flutterfield, they encounter a dark fairy on her way to destroy Shimmervale. Mariposa rushes back and helps Princess Catania to save their fairy land and together, the two girls prove that the best way to make a friend, is to be a friend.",2013-08-25,2.7163,317,en,6.905
Toc Toc,"A group of patients meet at a prestigious psychologist's office. Apart from the day and time of the appointment, something else unites them all: all six suffer from OCD. But the plane bringing the doctor is unexpectedly delayed, which forces them to spend an endless wait until the doctor shows up. Will they be able to keep their manias, impulses, convulsions, obsessions and rituals at bay during the wait?",2017-09-01,2.7162,1225,es,7.107
The Outfit,"Leonard is an English tailor who used to craft suits on London’s world-famous Savile Row. After a personal tragedy, he’s ended up in Chicago, operating a small tailor shop in a rough part of town where he makes beautiful clothes for the only people around who can afford them: a family of vicious gangsters.",2022-02-25,2.716,1161,en,7.096
Unfaithfully Yours,"Before he left for a brief European visit, symphony conductor Sir Alfred De Carter casually asked his staid brother-in-law August to look out for his young wife, Daphne, during his absence. August has hired a private detective to keep tabs on her. But when the private eye's report suggests Daphne might have been canoodling with his secretary, Sir Alfred begins to imagine how he might take his revenge.",1948-12-10,2.7155,117,en,7.2
Kumu Hina,"A transgender Native Hawaiian teacher inspires a young girl to fulfill her destiny of leading the school's male hula troupe, even as she struggles to find love and a committed relationship in her own life.",2014-06-22,2.7151,8,en,6.6
The Third Man,"In postwar Vienna, Austria, Holly Martins, a writer of pulp Westerns, arrives penniless as a guest of his childhood chum Harry Lime, only to learn he has died. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry's death, running into interference from British officer Major Calloway, and falling head-over-heels for Harry's grief-stricken lover, Anna.",1949-08-31,2.7146,1919,en,7.9
Jade,"Jade presents the story of a woman who comes between a powerful businessman and a gang leader in their search for a hard drive that could damage the operations of Interpol. Despite grieving for the brother she accidentally killed, the woman is required to use her unique set of skills to retrieve the drive and protect her brother's unborn child being carried by another woman.",2024-05-05,2.7143,14,en,4.9
Police Academy 4: Citizens on Patrol,"A new batch of recruits arrives at Police Academy, this time a group of civilian volunteers who have joined Commandant Lassard's new Citizens on Patrol program. Although the community relations project has strong governmental support, a disgusted Captain Harris is determined to see it fail.",1987-04-02,2.714,1174,en,5.5
South Park: The End of Obesity,"The advent of new weight loss drugs has a huge impact on everyone in South Park. When Cartman is denied access to the life-changing medicine, the kids jump into action.",2024-05-24,2.7139,189,en,7.516
Role Models,"Two salesmen trash a company truck on an energy drink-fueled bender. Upon their arrest, the court gives them a choice: do hard time or spend 150 service hours with a mentorship program. After one day with the kids, however, jail doesn't look half bad.",2008-11-07,2.7137,1940,en,6.5
The Pink Panther,"The trademark of The Phantom, a renowned jewel thief, is a glove left at the scene of the crime. Inspector Clouseau, an expert on The Phantom's exploits, feels sure that he knows where The Phantom will strike next and leaves Paris for the Tyrolean Alps, where the famous Lugashi jewel 'The Pink Panther' is going to be. However, he does not know who The Phantom really is, or for that matter who anyone else really is...",1963-12-18,2.7135,1061,en,6.8
The Score,An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist.,2001-07-13,2.7134,1695,en,6.698
Abduction,"For many years, Nathan Harper has had the uneasy feeling that life with his family isn't quite what it seems. As he draws closer to uncovering the truth, he is hunted by assassins, forcing him to flee with his neighbor, Karen, the only person he can trust.",2011-09-22,2.7131,2890,en,5.859
Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,1995-12-09,2.7127,2682,en,5.9
Kate,A ruthless criminal operative has less than 24 hours to exact revenge on her enemies and in the process forms an unexpected bond with the daughter of one of her past victims.,2021-09-10,2.7126,1553,en,6.6
Oliver & Company,"A young cat named Oliver is left alone in a kitten box, while all the other young cats have new owners. A big dog named Dodger shows him how to get food and later Oliver lives with him, his owner Fagin and Fagin's other dogs Tito, Rita, Einstein, and Francis. Fagin has one problem besides being broke he owes a nasty man named Sykes a lot of money. If he can't pay it back he's in big trouble. While Oliver runs into a little girl named Jenny who becomes his new owner which he is happy with and later Sykes sees Jenny as the key for him to get his money.",1988-11-18,2.7123,1595,en,6.7
The Flu,"A case of the flu quickly morphs into a pandemic. As the death toll mounts and the living panic, the government plans extreme measures to contain it.",2013-08-14,2.7121,1200,ko,7.5
The Birdcage,"Middle-aged gay life partners, Armand Goldman, a Jewish drag club owner, and Albert, the club's flamboyant star attraction, live in the eclectic community of South Beach and have raised a straight son. Now, their newly engaged son, 20-year-old Val, wants to bring his fiancée, Barbara, and her ultraconservative parents home to meet his family for the first time. By Val's request, Armand pretends to be straight, not Jewish and attempts to hide his relationship with Albert, in order to please Barbara's father, controversial right-wing Republican Sen. Kevin Keeley.",1996-03-08,2.7116,1177,en,7.0
The Fear: Resurrection,"It's death-by-fear (aka scared-to-death) in this deceptively psychological thriller. The hero, Mike brings his friends to his grandparents' house for a Halloween party wherein they will all dress up as their innermost fears. Mike's fear is that he's inherited a homicidal legacy from his father. Mike's father was a serial killer who murdered his mother right in front of him when Mike was five before committing suicide. Mike's fear manifests itself in his inability to commit to his girlfriend of 4 1/2 years, Peg for fear that he will kill her too. Everything gets rolling when an ancient Indian totem wooden figure named Morty comes to life and starts killing off Mike's friends by making their worst fears come true. The ultimate confrontation comes when Mike has to face his greatest fear - his own father.",1999-10-05,2.7111,16,en,3.4
The Enforcer,"An undercover cop struggling to provide for his son and ailing wife, must infiltrate a ruthless gang. But things turn sour when another cop blows his cover and he quickly finds himself battling for his life and the lives of his family.",1995-03-02,2.7111,159,cn,6.7
Day of Miracles,"Documentary - Was God called upon on 9/11, and did He answer? This documentary, a Christian look at the tragedy's survivors and heroes, contends that He did. -  TJ Myers, Patrick Williams, Brenda Epperson",2005-01-01,2.711,2,en,8.0
Adrift,"Tami Oldham and Richard Sharp couldn't anticipate that they would be sailing directly into one of the most catastrophic hurricanes in recorded history. In the aftermath of the storm, Tami awakens to find Richard badly injured and their boat in ruins. With no hope of rescue, Tami must now find the strength and determination to save herself and the only man she has ever loved.",2018-05-31,2.7104,2609,en,6.841
Cleaner,"Single father and former cop Tom Cutler has an unusual occupation: he cleans up death scenes. But when he's called in to sterilize a wealthy suburban residence after a brutal shooting, Cutler is shocked to learn he may have unknowingly erased crucial evidence, entangling himself in a dirty criminal cover-up.",2007-09-11,2.7104,840,en,6.1
The SpongeBob Movie: Search for SquarePants,SpongeBob travels to the depths of the ocean and faces off against the ghost of the Flying Dutchman.,2025-12-17,2.7096,0,en,0.0
Granit,"Mozambique requests from Russia is being helped in the fight against militants of the ""Islamic State"" and a special group led by a commander with the call sign Granit is coming to the country.",2021-12-29,2.7087,42,ru,7.3
Madness,"An escaped convicted murderer invades the cottage of a man, his wife and the wife's sister, whereupon he proceeds to torment this already dysfunctional trio with rape and violence.",1980-03-20,2.7086,23,it,4.9
Backdraft,Firemen brothers Brian and Stephen McCaffrey battle each other over past slights while trying to stop an arsonist with a diabolical agenda from torching Chicago.,1991-05-24,2.7068,1449,en,6.7
Dragged Across Concrete,"Two policemen, one an old-timer, the other his volatile younger partner, find themselves suspended when a video of their strong-arm tactics becomes the media's cause du jour. Low on cash and with no other options, these two embittered soldiers descend into the criminal underworld to gain their just due, but instead find far more than they wanted awaiting them in the shadows.",2019-02-21,2.7062,1014,en,6.593
28 Years Later Part 2: The Bone Temple,The second installment in the 28 Days Later sequel trilogy. Plot TBA.,2026-01-15,2.7061,0,en,0.0
No Reservations,"Master chef Kate Armstrong runs her life and her kitchen with intimidating intensity. However, a recipe for disaster may be in the works when she becomes the guardian of her young niece while crossing forks with the brash sous-chef who just joined her staff. Though romance blooms in the face of rivalry, Kate needs to look outside the kitchen to find true happiness.",2007-06-15,2.7061,1379,en,6.7
The Maid,An emotionally troubled teenager gets into a passionate relationship with the older French woman working in his father's house.,2014-04-12,2.706,27,en,4.5
Free Willy,"When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them.",1993-07-16,2.7056,1832,en,6.166
Dangal,"Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",2016-12-21,2.7052,1024,hi,7.887
Dr. Lamb,"An abnormal taxi driver lusts for blood every rainy night, and several young women are killed as a result. The muderer, Laiu, likes to take photos of the victims dismembered bodies as momentos. Inspector Lee is called onto the case in this bizarre thriller.",1992-10-22,2.705,30,cn,5.3
Three Colors: White,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikołaj to smuggle him back to their homeland.",1994-01-26,2.7043,1218,fr,7.5
Young Mom 2,"Won-jin is unemployed and spends most of his time pleasuring himself and dreaming after Seon-mi. One day, his father brings home a very young wife who will be Won-jin's step-mother, and he hopes she'll be the woman of his dreams.",2019-03-22,2.7038,2,ko,3.5
Christopher Robin,"Christopher Robin, the boy who had countless adventures in the Hundred Acre Wood, has grown up and lost his way. Now it’s up to his spirited and loveable stuffed animals, Winnie The Pooh, Tigger, Piglet, and the rest of the gang, to rekindle their friendship and remind him of endless days of childlike wonder and make-believe, when doing nothing was the very best something.",2018-08-01,2.7031,2754,en,7.3
Three Colors: Red,"Part-time model Valentine unexpectedly befriends a retired judge after she runs over his dog. At first, the grumpy man shows no concern about the dog, and Valentine decides to keep it. But the two form a bond when she returns to his house and catches him listening to his neighbors’ phone calls.",1994-05-12,2.703,1424,fr,7.9
Las Ilusyunadas,"Emma and Sandra, bound by loss and love, find solace and passion in each other while haunted by the illusions of their past. As reality and fantasy blur, they navigate guilt, desire, and the echoes of their late spouses. How long can they live in a world of make-believe?",2025-01-10,2.7029,2,tl,4.0
Lovelace,"Story of Linda Lovelace, who is used and abused by the porn industry at the behest of her coercive husband, before taking control of her life.",2013-08-08,2.7027,701,en,6.019
Doomsday Machine,"Following the discovery of a doomsday machine capable of destroying Earth, the launch of a US space mission to Venus is taken over by the military.",1972-01-01,2.7024,28,en,3.2
Toto in Paris,"Duclos's son, a worldly gangster, is compromised in a case of which he is innocent. The proof of this innocence is in the hands of a ""competitor"", the Marquis de Chemantel de Beauvoiron, a misguided aristocrat. He asked for $ 10 million to cede the document. Duclos will then imagine Chemantel contracting $ 10 million in life insurance for his son. As he discovered in Rome a tramp, a look-alike of the marquis, he will bring this man to Paris and arrange for him to die accidentally.",1958-10-23,2.702,27,it,6.2
A Fish Called Wanda,"While a diamond advocate attempts to steal a collection of diamonds, troubles arise when he realises he’s not the only one after the collection.",1988-07-15,2.701,2223,en,7.2
Bombshell,Bombshell is a revealing look inside the most powerful and controversial media empire of all time; and the explosive story of the women who brought down the infamous man who created it.,2019-12-13,2.7002,3022,en,6.8
Ella Enchanted,"Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. The path, however, isn't easy -- Ella must outwit a slew of unpleasant obstacles including ogres, giants, wicked stepsisters, elves and Prince Charmont's evil uncle, who wants to take over the crown and rule the kingdom.",2004-04-09,2.6999,1864,en,6.5
As the Gods Will,"High school student Shun Takahata is bored. Bored with the day-to-day monotony of school and life, he prays for change, for something exciting. Suddenly, he and his classmates are forced to play deadly children's games and facing terrifying creatures from a talking Daruma doll to a sharp-clawed lucky cat.",2014-11-15,2.6998,521,ja,7.131
Hollywood Confidential,A former LA cop runs a top-flight private detective agency that caters to spoiled Hollywood types.,1997-04-14,2.6998,7,en,3.9
